"","1","2","3","4","5","6","7","8","9"
"1043","ARI",NA,NA,NA,NA,NA,NA,NA,NA
"1044","ATL","ATL",NA,NA,NA,NA,NA,NA,NA
"1045","BAL",NA,NA,NA,NA,NA,NA,NA,NA
"1046","MIN",NA,NA,NA,NA,NA,NA,NA,NA
"1047","CIN","ATL","ATL","BAL",NA,NA,NA,NA,NA
"1048","SDN",NA,NA,NA,NA,NA,NA,NA,NA
"1049","LAN","LAN","LAN","LAN","LAN",NA,NA,NA,NA
"1050","TOR","TOR","TOR","TOR","WAS",NA,NA,NA,NA
"1051","PIT",NA,NA,NA,NA,NA,NA,NA,NA
"1052","TBA","SEA","OAK","OAK","TBA",NA,NA,NA,NA
"1053","SLN","SLN","SLN","SLN","SLN",NA,NA,NA,NA
"1054","KCA","KCA","TOR","TOR","MIL","MIL",NA,NA,NA
"1055","TOR","TOR","TOR","TOR",NA,NA,NA,NA,NA
"1056","BOS",NA,NA,NA,NA,NA,NA,NA,NA
"1057","MIA","MIA","MIA","CHA",NA,NA,NA,NA,NA
"1058","TBA","TBA","TBA","TBA","TBA",NA,NA,NA,NA
"1059","LAA","LAA","LAA","LAA","TBA","MIN",NA,NA,NA
"1060","NYA","NYA","NYA","NYA",NA,NA,NA,NA,NA
"1061","SEA","PHI","PHI","PHI","MIL",NA,NA,NA,NA
"1062","SEA",NA,NA,NA,NA,NA,NA,NA,NA
"1063","LAA","LAA","MIL","BOS",NA,NA,NA,NA,NA
"1064","COL","CLE","CLE","CLE","BAL","BAL",NA,NA,NA
"1065","SFN",NA,NA,NA,NA,NA,NA,NA,NA
"1066","COL",NA,NA,NA,NA,NA,NA,NA,NA
"1067","BOS",NA,NA,NA,NA,NA,NA,NA,NA
"1068","HOU","HOU","ARI","ATL","ATL","ATL","CLE",NA,NA
"1069","TBA","CHA","BAL","TOR","SLN",NA,NA,NA,NA
"1070","TBA","TBA","KCA","ATL","CLE",NA,NA,NA,NA
"1071","CHA","CHA","CHA",NA,NA,NA,NA,NA,NA
"1072","BAL","BAL","BAL","OAK","DET","ATL","LAN",NA,NA
"1073","FLO","MIA","TOR",NA,NA,NA,NA,NA,NA
"1074","ARI","TOR","TOR","TBA","NYA","BOS","BAL","ATL","NYN"
"1075","PIT","MIN",NA,NA,NA,NA,NA,NA,NA
"1076","CHA",NA,NA,NA,NA,NA,NA,NA,NA
"1077","BAL",NA,NA,NA,NA,NA,NA,NA,NA
"1078","CHN","CHN","ATL","ATL","MIA","WAS",NA,NA,NA
"1079","SDN","NYN","SLN",NA,NA,NA,NA,NA,NA
"1080","BAL","BAL","BAL",NA,NA,NA,NA,NA,NA
"1081","CHN",NA,NA,NA,NA,NA,NA,NA,NA
"1082","BAL","BAL","BAL","BAL","BAL",NA,NA,NA,NA
"1083","NYA","NYA",NA,NA,NA,NA,NA,NA,NA
"1084","ATL","ATL",NA,NA,NA,NA,NA,NA,NA
"1085","PIT","PIT","PIT","MIA","NYA",NA,NA,NA,NA
"1086","SEA","SEA",NA,NA,NA,NA,NA,NA,NA
"1087","CHA","CHA","CHA","CHA",NA,NA,NA,NA,NA
"1088","WAS","WAS","WAS",NA,NA,NA,NA,NA,NA
"1089","BAL","BAL",NA,NA,NA,NA,NA,NA,NA
"1090","NYA",NA,NA,NA,NA,NA,NA,NA,NA
"1091","KCA","KCA",NA,NA,NA,NA,NA,NA,NA
"1092","TBA","TBA","TBA","TBA","LAA",NA,NA,NA,NA
"1093","CLE",NA,NA,NA,NA,NA,NA,NA,NA
"1094","MIL",NA,NA,NA,NA,NA,NA,NA,NA
"1095","ATL","ATL","BAL","COL",NA,NA,NA,NA,NA
"1096","KCA","OAK",NA,NA,NA,NA,NA,NA,NA
"1097","COL","COL",NA,NA,NA,NA,NA,NA,NA
"1098","BOS","CHN",NA,NA,NA,NA,NA,NA,NA
"1099","PIT",NA,NA,NA,NA,NA,NA,NA,NA
"1100","WAS","TBA","TBA",NA,NA,NA,NA,NA,NA
"1101","PIT","PIT",NA,NA,NA,NA,NA,NA,NA
"1102","SEA","TOR","TOR","TOR",NA,NA,NA,NA,NA
"1103","LAA","CLE","OAK","OAK","HOU",NA,NA,NA,NA
"1104","CLE","MIA","MIA",NA,NA,NA,NA,NA,NA
"1105","TEX",NA,NA,NA,NA,NA,NA,NA,NA
"1106","SEA","SEA","NYA","NYA","SDN",NA,NA,NA,NA
"1107","SDN","SDN",NA,NA,NA,NA,NA,NA,NA
"1108","DET","DET","DET","DET","MIA",NA,NA,NA,NA
"1109","SLN","SLN","SLN","BOS","BOS",NA,NA,NA,NA
"1110","ATL",NA,NA,NA,NA,NA,NA,NA,NA
"1111","LAN","LAN","LAN","LAN","SDN",NA,NA,NA,NA
"1112","LAA","LAA","LAA","LAA","LAN",NA,NA,NA,NA
"1113","PHI","PHI","PHI","PHI","COL",NA,NA,NA,NA
"1114","SEA","LAN",NA,NA,NA,NA,NA,NA,NA
"1115","ARI","ARI","ARI","SDN","SDN","SDN",NA,NA,NA
"1116","COL","SEA",NA,NA,NA,NA,NA,NA,NA
"1117","MIN",NA,NA,NA,NA,NA,NA,NA,NA
"1118","HOU","SFN","TBA","CHA",NA,NA,NA,NA,NA
"1119","LAN","LAN","LAN","LAN","LAN",NA,NA,NA,NA
"1120","HOU","HOU","HOU","HOU",NA,NA,NA,NA,NA
"1121","SFN","SFN",NA,NA,NA,NA,NA,NA,NA
"1122","TBA","TBA","TBA",NA,NA,NA,NA,NA,NA
"1123","SFN","ARI",NA,NA,NA,NA,NA,NA,NA
"1124","WAS",NA,NA,NA,NA,NA,NA,NA,NA
"1125","ATL","ATL","ATL","ATL","SDN",NA,NA,NA,NA
"1126","CHA","SEA",NA,NA,NA,NA,NA,NA,NA
"1127","TEX","TEX","TEX","DET","DET",NA,NA,NA,NA
"1128","MIL","MIL","MIL","MIL","MIL",NA,NA,NA,NA
"1129","CLE","CLE","CLE","CLE","CLE",NA,NA,NA,NA
"1130","TEX","TEX","TEX","TEX",NA,NA,NA,NA,NA
"1131","TEX","TEX",NA,NA,NA,NA,NA,NA,NA
"1132","CLE","CLE","CLE","CLE","CLE",NA,NA,NA,NA
"1133","DET","MIL",NA,NA,NA,NA,NA,NA,NA
"1134","DET",NA,NA,NA,NA,NA,NA,NA,NA
"1135","WAS","WAS",NA,NA,NA,NA,NA,NA,NA
"1136","MIA","MIA","MIA","MIA",NA,NA,NA,NA,NA
"1137","LAA","LAA","LAA","ATL",NA,NA,NA,NA,NA
"1138","SLN","MIN",NA,NA,NA,NA,NA,NA,NA
"1139","CHA","CHA","CHA","CHA",NA,NA,NA,NA,NA
"1140","NYA","SFN","SFN","SFN","SFN",NA,NA,NA,NA
"1141","TOR","TOR",NA,NA,NA,NA,NA,NA,NA
"1142","TBA","CLE","MIA",NA,NA,NA,NA,NA,NA
"1143","MIL","SDN","SDN",NA,NA,NA,NA,NA,NA
"1144","MIL","MIL","OAK","KCA","CLE","SLN","TOR",NA,NA
"1145","OAK","COL","TEX",NA,NA,NA,NA,NA,NA
"1146","SLN","SLN","SLN","SLN","SLN",NA,NA,NA,NA
"1147","PHI","PHI","PHI","TOR","KCA","KCA","PHI",NA,NA
"1148","HOU","HOU","LAA","TBA","DET",NA,NA,NA,NA
"1149","ARI",NA,NA,NA,NA,NA,NA,NA,NA
"1150","WAS","DET","DET",NA,NA,NA,NA,NA,NA
"1151","MIN","ARI","ARI","CLE","MIN",NA,NA,NA,NA
"1152","LAA",NA,NA,NA,NA,NA,NA,NA,NA
"1153","LAN",NA,NA,NA,NA,NA,NA,NA,NA
"1154","LAN","NYA","NYA","NYA",NA,NA,NA,NA,NA
"1155","BOS","BOS","BOS","SLN","SLN",NA,NA,NA,NA
"1156","OAK",NA,NA,NA,NA,NA,NA,NA,NA
"1157","SEA","NYA","TOR","NYN","TOR","COL",NA,NA,NA
"1158","SEA","PIT","PIT",NA,NA,NA,NA,NA,NA
"1159","NYN","NYN","NYN",NA,NA,NA,NA,NA,NA
"1160","CHN","CHN",NA,NA,NA,NA,NA,NA,NA
"1161","NYA","HOU","HOU",NA,NA,NA,NA,NA,NA
"1162","SLN","DET","ATL","ATL","ARI",NA,NA,NA,NA
"1163","CHN","CHN","CHN","BAL",NA,NA,NA,NA,NA
"1164","CHN","MIL",NA,NA,NA,NA,NA,NA,NA
"1165","CIN",NA,NA,NA,NA,NA,NA,NA,NA
"1166","ARI","ARI",NA,NA,NA,NA,NA,NA,NA
"1167","CIN",NA,NA,NA,NA,NA,NA,NA,NA
"1168","PIT","PIT","PIT",NA,NA,NA,NA,NA,NA
"1169","SDN",NA,NA,NA,NA,NA,NA,NA,NA
"1170","SEA","LAA","TOR",NA,NA,NA,NA,NA,NA
"1171","CLE","ARI",NA,NA,NA,NA,NA,NA,NA
"1172","WAS","WAS","PHI","NYN",NA,NA,NA,NA,NA
"1173","CLE","CLE",NA,NA,NA,NA,NA,NA,NA
"1174","WAS","WAS","WAS","WAS","CHA",NA,NA,NA,NA
"1175","OAK","TOR",NA,NA,NA,NA,NA,NA,NA
"1176","ATL","CHN",NA,NA,NA,NA,NA,NA,NA
"1177","SDN","CIN","CIN","CIN","MIA","LAN","LAA",NA,NA
"1178","BOS","BOS","BOS","BOS","BAL","ATL",NA,NA,NA
"1179","TOR","TOR","TOR","TOR","OAK",NA,NA,NA,NA
"1180","SDN","SDN","BOS","BOS",NA,NA,NA,NA,NA
"1181","MIA",NA,NA,NA,NA,NA,NA,NA,NA
"1182","SEA","SEA","LAN","LAN","LAN",NA,NA,NA,NA
"1183","CIN","CIN","CIN","CIN","CIN","SFN",NA,NA,NA
"1184","NYN",NA,NA,NA,NA,NA,NA,NA,NA
"1185","SDN","MIA","MIA","HOU","LAA","NYA","LAA",NA,NA
"1186","CIN","CIN","CIN","CIN","CIN",NA,NA,NA,NA
"1187","TOR",NA,NA,NA,NA,NA,NA,NA,NA
"1188","HOU","HOU","MIA",NA,NA,NA,NA,NA,NA
"1189","CLE","CLE","CLE",NA,NA,NA,NA,NA,NA
"1190","PHI","PHI","PHI","PHI",NA,NA,NA,NA,NA
"1191","BAL","PIT",NA,NA,NA,NA,NA,NA,NA
"1192","CHA","CHA",NA,NA,NA,NA,NA,NA,NA
"1193","LAN",NA,NA,NA,NA,NA,NA,NA,NA
"1194","CHN","COL","COL","COL","COL",NA,NA,NA,NA
"1195","OAK",NA,NA,NA,NA,NA,NA,NA,NA
"1196","SEA","SEA","ARI",NA,NA,NA,NA,NA,NA
"1197","WAS","WAS","WAS","BOS",NA,NA,NA,NA,NA
"1198","PIT","PIT","PIT","NYA",NA,NA,NA,NA,NA
"1199","PHI","PHI",NA,NA,NA,NA,NA,NA,NA
"1200","BOS","BOS","BOS","BOS","OAK","CHN",NA,NA,NA
"1201","TEX","TEX","TEX","TEX",NA,NA,NA,NA,NA
"1202","CIN","NYN",NA,NA,NA,NA,NA,NA,NA
"1203","TOR",NA,NA,NA,NA,NA,NA,NA,NA
"1204","LAN",NA,NA,NA,NA,NA,NA,NA,NA
"1205","SEA","SEA","SEA",NA,NA,NA,NA,NA,NA
"1206","PHI","WAS",NA,NA,NA,NA,NA,NA,NA
"1207","CHA","CHA","BOS","CLE","CHN","NYA",NA,NA,NA
"1208","LAN","LAN","LAN",NA,NA,NA,NA,NA,NA
"1209","CHN",NA,NA,NA,NA,NA,NA,NA,NA
"1210","SFN","SFN","SFN","SFN","SFN",NA,NA,NA,NA
"1211","BOS",NA,NA,NA,NA,NA,NA,NA,NA
"1212","PIT","PIT","TOR","TOR","PHI",NA,NA,NA,NA
"1213","TOR","TOR","TOR","TOR","MIL",NA,NA,NA,NA
"1214","LAN","LAN","PHI","TEX","OAK",NA,NA,NA,NA
"1215","NYA",NA,NA,NA,NA,NA,NA,NA,NA
"1216","CLE",NA,NA,NA,NA,NA,NA,NA,NA
"1217","COL","BAL","ARI","CHA","CHA",NA,NA,NA,NA
"1218","CHA",NA,NA,NA,NA,NA,NA,NA,NA
"1219","ATL",NA,NA,NA,NA,NA,NA,NA,NA
"1220","MIN","MIN","CHA","PIT","PIT","PIT",NA,NA,NA
"1221","SDN",NA,NA,NA,NA,NA,NA,NA,NA
"1222","TOR",NA,NA,NA,NA,NA,NA,NA,NA
"1223","PIT",NA,NA,NA,NA,NA,NA,NA,NA
"1224","TBA","TBA","TBA","WAS","WAS",NA,NA,NA,NA
"1225","DET","DET",NA,NA,NA,NA,NA,NA,NA
"1226","HOU",NA,NA,NA,NA,NA,NA,NA,NA
"1227","PIT","PIT","PIT","PIT","PIT",NA,NA,NA,NA
"1228","MIL","MIL","SEA","CHN","ATL",NA,NA,NA,NA
"1229","TOR","PHI",NA,NA,NA,NA,NA,NA,NA
"1230","NYA","NYA","NYA","COL","COL",NA,NA,NA,NA
"1231","SLN","SLN","MIL","MIL","MIL",NA,NA,NA,NA
"1232","SFN",NA,NA,NA,NA,NA,NA,NA,NA
"1233","WAS","WAS","WAS","BAL","PIT",NA,NA,NA,NA
"1234","LAN","LAN","BOS","TBA","TBA","TBA",NA,NA,NA
"1235","TBA","TBA","TBA","TBA","TBA",NA,NA,NA,NA
"1236","TBA","MIL",NA,NA,NA,NA,NA,NA,NA
"1237","SFN","SFN","SFN","SFN","SFN",NA,NA,NA,NA
"1238","COL","FLO","CLE","CHA",NA,NA,NA,NA,NA
"1239","MIL",NA,NA,NA,NA,NA,NA,NA,NA
"1240","CHN",NA,NA,NA,NA,NA,NA,NA,NA
"1241","CHN","CHN",NA,NA,NA,NA,NA,NA,NA
"1242","HOU","HOU","COL","COL",NA,NA,NA,NA,NA
"1243","CIN",NA,NA,NA,NA,NA,NA,NA,NA
"1244","KCA","KCA","BAL","BAL",NA,NA,NA,NA,NA
"1245","TOR","TOR","TOR","TOR",NA,NA,NA,NA,NA
"1246","SFN",NA,NA,NA,NA,NA,NA,NA,NA
"1247","ATL","CLE","NYA","TEX",NA,NA,NA,NA,NA
"1248","TEX","TEX","LAA","CLE","SEA","TOR",NA,NA,NA
"1249","BOS","HOU","OAK","OAK","HOU",NA,NA,NA,NA
"1250","MIA","MIA",NA,NA,NA,NA,NA,NA,NA
"1251","MIL","MIL","MIL","MIL","MIL",NA,NA,NA,NA
"1252","CHA",NA,NA,NA,NA,NA,NA,NA,NA
"1253","SDN","PIT","CIN","CIN","CIN",NA,NA,NA,NA
"1254","SDN","SDN",NA,NA,NA,NA,NA,NA,NA
"1255","SEA","TBA","TBA","TBA",NA,NA,NA,NA,NA
"1256","SEA","SEA","SEA","SEA",NA,NA,NA,NA,NA
"1257","ATL",NA,NA,NA,NA,NA,NA,NA,NA
"1258","PHI",NA,NA,NA,NA,NA,NA,NA,NA
"1259","CIN","CIN",NA,NA,NA,NA,NA,NA,NA
"1260","NYN","NYN",NA,NA,NA,NA,NA,NA,NA
"1261","HOU","HOU","HOU","COL","COL",NA,NA,NA,NA
"1262","SLN","SLN","SLN","SLN","SLN",NA,NA,NA,NA
"1263","HOU","HOU","TOR","NYN",NA,NA,NA,NA,NA
"1264","SLN","SLN","SLN",NA,NA,NA,NA,NA,NA
"1265","LAN","LAN",NA,NA,NA,NA,NA,NA,NA
"1266","DET",NA,NA,NA,NA,NA,NA,NA,NA
"1267","BAL","BAL","BAL","BAL",NA,NA,NA,NA,NA
"1268","SFN","SFN","SFN","SFN","BOS",NA,NA,NA,NA
"1269","PHI","KCA",NA,NA,NA,NA,NA,NA,NA
"1270","LAN",NA,NA,NA,NA,NA,NA,NA,NA
"1271","OAK",NA,NA,NA,NA,NA,NA,NA,NA
"1272","PIT","CHN","ATL","ATL","LAN",NA,NA,NA,NA
"1273","BAL","MIA",NA,NA,NA,NA,NA,NA,NA
"1274","TBA",NA,NA,NA,NA,NA,NA,NA,NA
"1275","KCA","KCA",NA,NA,NA,NA,NA,NA,NA
"1276","TBA",NA,NA,NA,NA,NA,NA,NA,NA
"1277","MIA",NA,NA,NA,NA,NA,NA,NA,NA
"1278","CHN","CHN","CLE",NA,NA,NA,NA,NA,NA
"1279","WAS",NA,NA,NA,NA,NA,NA,NA,NA
"1280","MIL","MIL","MIL","MIL","MIL",NA,NA,NA,NA
"1281","CIN","MIN",NA,NA,NA,NA,NA,NA,NA
"1282","SLN","SLN","SLN",NA,NA,NA,NA,NA,NA
"1283","MIN","MIN","COL","PHI","CLE",NA,NA,NA,NA
"1284","MIL","MIL","NYN","CLE",NA,NA,NA,NA,NA
"1285","ATL",NA,NA,NA,NA,NA,NA,NA,NA
"1286","CHA",NA,NA,NA,NA,NA,NA,NA,NA
"1287","KCA","KCA",NA,NA,NA,NA,NA,NA,NA
"1288","MIA","MIA","HOU","HOU",NA,NA,NA,NA,NA
"1289","BAL","BAL","BAL","BAL","ATL",NA,NA,NA,NA
"1290","KCA",NA,NA,NA,NA,NA,NA,NA,NA
"1291","ATL",NA,NA,NA,NA,NA,NA,NA,NA
"1292","CHN","CHN","CHN","LAN","MIA",NA,NA,NA,NA
"1293","LAA","LAA","LAA",NA,NA,NA,NA,NA,NA
"1294","WAS","ARI","MIN","SDN","SDN","CIN",NA,NA,NA
"1295","NYA",NA,NA,NA,NA,NA,NA,NA,NA
"1296","WAS","WAS",NA,NA,NA,NA,NA,NA,NA
"1297","BOS",NA,NA,NA,NA,NA,NA,NA,NA
"1298","NYA",NA,NA,NA,NA,NA,NA,NA,NA
"1299","ARI","ARI",NA,NA,NA,NA,NA,NA,NA
"1300","CHN","CIN","CIN","CIN",NA,NA,NA,NA,NA
"1301","CLE","CLE","CLE",NA,NA,NA,NA,NA,NA
"1302","ARI","ARI","LAA",NA,NA,NA,NA,NA,NA
"1303","ARI",NA,NA,NA,NA,NA,NA,NA,NA
"1304","DET",NA,NA,NA,NA,NA,NA,NA,NA
"1305","SEA",NA,NA,NA,NA,NA,NA,NA,NA
"1306","DET","DET",NA,NA,NA,NA,NA,NA,NA
"1307","PIT","PIT","PIT","PIT",NA,NA,NA,NA,NA
"1308","SLN","SLN",NA,NA,NA,NA,NA,NA,NA
"1309","SLN","SLN","SLN",NA,NA,NA,NA,NA,NA
"1310","COL","NYA",NA,NA,NA,NA,NA,NA,NA
"1311","ATL","OAK",NA,NA,NA,NA,NA,NA,NA
"1312","ATL","ATL","ATL",NA,NA,NA,NA,NA,NA
"1313","HOU","HOU",NA,NA,NA,NA,NA,NA,NA
"1314","PHI","PHI",NA,NA,NA,NA,NA,NA,NA
"1315","NYN","HOU","HOU",NA,NA,NA,NA,NA,NA
"1316","HOU","HOU","HOU","DET","DET",NA,NA,NA,NA
"1317","ARI","CLE",NA,NA,NA,NA,NA,NA,NA
"1318","TEX","TEX","TEX","TEX","TEX",NA,NA,NA,NA
"1319","SDN","TEX",NA,NA,NA,NA,NA,NA,NA
"1320","PHI","PHI","PHI","PIT","CLE",NA,NA,NA,NA
"1321","TEX","TEX",NA,NA,NA,NA,NA,NA,NA
"1322","FLO",NA,NA,NA,NA,NA,NA,NA,NA
"1323","WAS",NA,NA,NA,NA,NA,NA,NA,NA
"1324","NYA","NYA","PIT","PIT","TOR",NA,NA,NA,NA
"1325","MIN",NA,NA,NA,NA,NA,NA,NA,NA
"1326","DET","DET","DET","DET",NA,NA,NA,NA,NA
"1327","CIN","COL","MIA","ATL",NA,NA,NA,NA,NA
"1328","CLE","CLE","CLE","CLE","SLN","BOS",NA,NA,NA
"1329","TOR","MIN","MIN","MIN","TOR",NA,NA,NA,NA
"1330","CHN","SDN",NA,NA,NA,NA,NA,NA,NA
"1331","ATL","CHN",NA,NA,NA,NA,NA,NA,NA
"1332","LAA","TOR","MIA","MIA","MIA",NA,NA,NA,NA
"1333","PHI",NA,NA,NA,NA,NA,NA,NA,NA
"1334","BOS","BOS","NYN","NYN",NA,NA,NA,NA,NA
"1335","OAK","TBA",NA,NA,NA,NA,NA,NA,NA
"1336","WAS","WAS","WAS","WAS","LAA","CIN",NA,NA,NA
"1337","MIA",NA,NA,NA,NA,NA,NA,NA,NA
"1338","BAL","BAL","BAL","BAL","BAL",NA,NA,NA,NA
"1339","COL","COL",NA,NA,NA,NA,NA,NA,NA
"1340","NYN",NA,NA,NA,NA,NA,NA,NA,NA
"1341","MIN","MIN","MIN","MIN","MIN",NA,NA,NA,NA
"1342","SEA","SEA","SDN",NA,NA,NA,NA,NA,NA
"1343","HOU","HOU","KCA","KCA","SFN",NA,NA,NA,NA
"1344","WAS","WAS",NA,NA,NA,NA,NA,NA,NA
"1345","PHI","PHI","PHI","PHI","TOR","NYN",NA,NA,NA
"1346","SDN","SDN","SDN","SDN","ATL",NA,NA,NA,NA
"1347","MIL",NA,NA,NA,NA,NA,NA,NA,NA
"1348","MIN","MIN",NA,NA,NA,NA,NA,NA,NA
"1349","KCA","KCA","PIT","PIT","MIA",NA,NA,NA,NA
"1350","SDN",NA,NA,NA,NA,NA,NA,NA,NA
"1351","CLE","CLE","CLE","CLE","CLE",NA,NA,NA,NA
"1352","COL","COL","COL",NA,NA,NA,NA,NA,NA
"1353","ATL","ATL","ATL","NYA","NYA",NA,NA,NA,NA
"1354","DET","DET",NA,NA,NA,NA,NA,NA,NA
"1355","OAK","OAK","ARI","ARI","NYA","LAN",NA,NA,NA
"1356","SLN","SLN","TEX",NA,NA,NA,NA,NA,NA
"1357","MIL","MIL",NA,NA,NA,NA,NA,NA,NA
"1358","TOR","TOR",NA,NA,NA,NA,NA,NA,NA
"1359","DET",NA,NA,NA,NA,NA,NA,NA,NA
"1360","HOU",NA,NA,NA,NA,NA,NA,NA,NA
"1361","PIT","PIT","PIT","PIT","PIT",NA,NA,NA,NA
"1362","PIT","PIT","TEX",NA,NA,NA,NA,NA,NA
"1363","BOS","BOS","NYA","CHN",NA,NA,NA,NA,NA
"1364","PIT","PIT","PIT",NA,NA,NA,NA,NA,NA
"1365","TOR","ARI","ARI","PIT","CLE","PHI","BOS","LAA",NA
"1366","BAL","BAL","BAL",NA,NA,NA,NA,NA,NA
"1367","TBA","TBA","TBA","TBA","TBA",NA,NA,NA,NA
"1368","MIL","PIT","NYA","MIA","SFN","MIA",NA,NA,NA
"1369","MIA",NA,NA,NA,NA,NA,NA,NA,NA
"1370","TOR","TOR","TOR","PHI",NA,NA,NA,NA,NA
"1371","TEX",NA,NA,NA,NA,NA,NA,NA,NA
"1372","NYN","NYN","COL","HOU","HOU",NA,NA,NA,NA
"1373","PIT","PIT","PIT","COL","COL",NA,NA,NA,NA
"1374","ATL",NA,NA,NA,NA,NA,NA,NA,NA
"1375","ATL","PIT","BAL","BAL","WAS",NA,NA,NA,NA
"1376","CHA",NA,NA,NA,NA,NA,NA,NA,NA
"1377","PIT",NA,NA,NA,NA,NA,NA,NA,NA
"1378","SDN","SDN",NA,NA,NA,NA,NA,NA,NA
"1379","SEA","SEA","SEA","CHN",NA,NA,NA,NA,NA
"1380","ATL","ATL","ATL","KCA",NA,NA,NA,NA,NA
"1381","PIT","PIT","BAL",NA,NA,NA,NA,NA,NA
"1382","NYN","NYN","NYN","NYN",NA,NA,NA,NA,NA
"1383","HOU","BOS","PIT","PIT","PIT",NA,NA,NA,NA
"1384","TEX","TEX","BOS",NA,NA,NA,NA,NA,NA
"1385","KCA","KCA","KCA",NA,NA,NA,NA,NA,NA
"1386","PIT","PIT","PIT","PIT",NA,NA,NA,NA,NA
"1387","DET",NA,NA,NA,NA,NA,NA,NA,NA
"1388","NYA","NYA",NA,NA,NA,NA,NA,NA,NA
"1389","CIN","CIN","CIN","CIN","CIN",NA,NA,NA,NA
"1390","MIN",NA,NA,NA,NA,NA,NA,NA,NA
"1391","HOU",NA,NA,NA,NA,NA,NA,NA,NA
"1392","ARI",NA,NA,NA,NA,NA,NA,NA,NA
"1393","BOS","BOS","BOS","SDN",NA,NA,NA,NA,NA
"1394","MIN","KCA","SFN","SFN",NA,NA,NA,NA,NA
"1395","SDN","SDN","TEX",NA,NA,NA,NA,NA,NA
"1396","LAN",NA,NA,NA,NA,NA,NA,NA,NA
"1397","ARI","ARI","ARI","ARI","BOS",NA,NA,NA,NA
"1398","BOS","BOS","BOS","BOS","BAL","NYA",NA,NA,NA
"1399","SEA","SEA","SEA",NA,NA,NA,NA,NA,NA
"1400","CIN",NA,NA,NA,NA,NA,NA,NA,NA
"1401","OAK",NA,NA,NA,NA,NA,NA,NA,NA
"1402","COL","OAK","NYA","NYA",NA,NA,NA,NA,NA
"1403","DET","COL",NA,NA,NA,NA,NA,NA,NA
"1404","CHA",NA,NA,NA,NA,NA,NA,NA,NA
"1405","SLN","SLN","SLN","ATL",NA,NA,NA,NA,NA
"1406","SLN","TOR","BOS",NA,NA,NA,NA,NA,NA
"1407","TOR","LAA","OAK","TOR","OAK",NA,NA,NA,NA
"1408","COL","SEA",NA,NA,NA,NA,NA,NA,NA
"1409","WAS","OAK","OAK","OAK","MIN","MIN",NA,NA,NA
"1410","PHI",NA,NA,NA,NA,NA,NA,NA,NA
"1411","ATL","ATL","ATL","ATL",NA,NA,NA,NA,NA
"1412","ARI",NA,NA,NA,NA,NA,NA,NA,NA
"1413","NYN",NA,NA,NA,NA,NA,NA,NA,NA
"1414","NYA","NYA",NA,NA,NA,NA,NA,NA,NA
"1415","NYA",NA,NA,NA,NA,NA,NA,NA,NA
"1416","LAN",NA,NA,NA,NA,NA,NA,NA,NA
"1417","MIL","NYA",NA,NA,NA,NA,NA,NA,NA
"1418","NYA",NA,NA,NA,NA,NA,NA,NA,NA
"1419","TOR","TBA","TBA","TBA",NA,NA,NA,NA,NA
"1420","SLN","SLN","SLN","SLN","SLN",NA,NA,NA,NA
"1421","SFN","NYN",NA,NA,NA,NA,NA,NA,NA
"1422","CHA",NA,NA,NA,NA,NA,NA,NA,NA
"1423","CHN",NA,NA,NA,NA,NA,NA,NA,NA
"1424","NYA","SEA","SEA","SEA","SEA",NA,NA,NA,NA
"1425","ARI","ARI","ARI","ARI","CHN",NA,NA,NA,NA
"1426","NYN","NYN",NA,NA,NA,NA,NA,NA,NA
"1427","SEA",NA,NA,NA,NA,NA,NA,NA,NA
"1428","OAK",NA,NA,NA,NA,NA,NA,NA,NA
"1429","SEA","KCA","KCA","SDN","CLE",NA,NA,NA,NA
"1430","LAA",NA,NA,NA,NA,NA,NA,NA,NA
"1431","TBA","TBA","TBA","TBA","TBA",NA,NA,NA,NA
"1432","HOU",NA,NA,NA,NA,NA,NA,NA,NA
"1433","WAS","WAS","WAS","WAS",NA,NA,NA,NA,NA
"1434","COL","BOS","BOS","BOS","COL","KCA",NA,NA,NA
"1435","COL",NA,NA,NA,NA,NA,NA,NA,NA
"1436","LAA","SEA","MIN","SEA","KCA",NA,NA,NA,NA
"1437","ARI",NA,NA,NA,NA,NA,NA,NA,NA
"1438","CHA","CHA","CHA","PIT","PIT",NA,NA,NA,NA
"1439","TEX","TEX","TEX","TEX","TEX",NA,NA,NA,NA
"1440","NYA",NA,NA,NA,NA,NA,NA,NA,NA
"1441","PHI",NA,NA,NA,NA,NA,NA,NA,NA
"1442","MIL","MIL","CLE",NA,NA,NA,NA,NA,NA
"1443","LAA","LAA",NA,NA,NA,NA,NA,NA,NA
"1444","MIN","MIN","MIN","PIT","COL","COL",NA,NA,NA
"1445","NYN",NA,NA,NA,NA,NA,NA,NA,NA
"1446","PIT","PIT","PIT","MIA","MIA",NA,NA,NA,NA
"1447","FLO","MIA","MIA","SEA","SEA",NA,NA,NA,NA
"1448","TOR","TOR","TOR","TOR","SDN",NA,NA,NA,NA
"1449","WAS","WAS","SEA","BAL","SFN","MIA","PIT",NA,NA
"1450","COL","BOS","BOS",NA,NA,NA,NA,NA,NA
"1451","PIT","PIT","PIT","PIT","PIT",NA,NA,NA,NA
"1452","OAK","COL","SFN",NA,NA,NA,NA,NA,NA
"1453","CIN",NA,NA,NA,NA,NA,NA,NA,NA
