"","1","2","3","4","5","6","7","8","9"
"481","LAN","LAN","NYA",NA,NA,NA,NA,NA,NA
"482","TEX","TEX","TEX","BAL","SEA",NA,NA,NA,NA
"483","HOU","HOU",NA,NA,NA,NA,NA,NA,NA
"484","SLN","SLN","SLN","SLN","SLN",NA,NA,NA,NA
"485","MIN","COL","COL","COL","NYN",NA,NA,NA,NA
"486","CIN","CIN","CIN","CIN","CIN","KCA",NA,NA,NA
"487","SFN","COL","COL",NA,NA,NA,NA,NA,NA
"488","PIT","PIT",NA,NA,NA,NA,NA,NA,NA
"489","SDN","CLE",NA,NA,NA,NA,NA,NA,NA
"490","ATL",NA,NA,NA,NA,NA,NA,NA,NA
"491","ATL","ATL",NA,NA,NA,NA,NA,NA,NA
"492","SLN",NA,NA,NA,NA,NA,NA,NA,NA
"493","SEA",NA,NA,NA,NA,NA,NA,NA,NA
"494","KCA",NA,NA,NA,NA,NA,NA,NA,NA
"495","COL","NYA","NYA",NA,NA,NA,NA,NA,NA
"496","TBA","CLE",NA,NA,NA,NA,NA,NA,NA
"497","CHA","CHA","CHA","CHA","CHA",NA,NA,NA,NA
"498","CHA","CHA","CHA","PHI",NA,NA,NA,NA,NA
"499","PIT","PIT","PIT","PHI",NA,NA,NA,NA,NA
"500","NYN","NYN","NYN",NA,NA,NA,NA,NA,NA
"501","SDN","SDN",NA,NA,NA,NA,NA,NA,NA
"502","MIN",NA,NA,NA,NA,NA,NA,NA,NA
"503","TEX","TEX","TEX",NA,NA,NA,NA,NA,NA
"504","ARI",NA,NA,NA,NA,NA,NA,NA,NA
"505","KCA","NYA",NA,NA,NA,NA,NA,NA,NA
"506","MIL",NA,NA,NA,NA,NA,NA,NA,NA
"507","BAL",NA,NA,NA,NA,NA,NA,NA,NA
"508","TEX","BAL","BAL","BAL","BAL","BAL",NA,NA,NA
"509","CHN",NA,NA,NA,NA,NA,NA,NA,NA
"510","WAS",NA,NA,NA,NA,NA,NA,NA,NA
"511","NYN","NYN","NYN","NYN","PIT","OAK",NA,NA,NA
